Date,HK.00316,HK.01378,HK.00883,HK.01171,HK.00386,HK.01308,HK.01088,HK.00998,600019.SS,HK.01919,HK.03988,HK.01288,HK.03323,HK.00762,HK.00857,HK.03328,HK.00728,HK.00941,HK.00939,000651.SZ,601088.SS,HK.02007,601006.SS,HK.01398,002157.SZ,601155.SS,HK.00267,HK.01044,601328.SS,600028.SS,601169.SS,HK.00017,HK.00868,601225.SS,601988.SS,HK.00688,000002.SZ,601818.SS,601288.SS,HK.02628,HK.00006,601398.SS,000069.SZ,600000.SS,601939.SS
2019-01-16,-7.336,3.35,10.77,3.3497,5.11632,3.19,14.03385,3.99193,5.465048789978027,2.4307668,2.78221,2.93863,4.65633,8.11007,4.38843,5.35865,3.745,71.839,5.48044,32.99230194091797,14.939532279968262,8.0197,6.697956562042236,4.81789,5.7372636795043945,22.690017700195312,10.837,50.41262,4.988473415374756,4.425616264343262,4.822859287261963,39.78,6.39,6.659826278686523,2.991647481918335,24.9,22.292314529418945,3.3457226753234863,3.0111844539642334,16.69006,46.03,4.5234761238098145,5.369653224945068,8.869643211364746,5.566902160644531
2019-01-17,-7.436,3.37,10.73,3.3097,5.08632,3.25,13.83385,4.02193,5.432948589324951,2.4384591,2.79221,2.92863,4.67633,7.98007,4.36843,5.26865,3.675,71.089,5.47044,32.44676971435547,14.819053649902344,7.6797,6.787807464599609,4.78789,5.690237045288086,22.490447998046875,10.437,50.06262,4.946623802185059,4.400984287261963,4.806025505065918,38.82,6.47,6.694067478179932,3.0001468658447266,24.0,21.897682189941406,3.328652858734131,3.0197389125823975,16.67006,45.68,4.532108783721924,5.3087334632873535,8.90466594696045,5.601640701293945
2019-01-18,-7.436,3.39,10.99,3.5397,5.08632,3.23,14.09385,4.04193,5.561348915100098,2.4384591,2.81221,2.95863,4.64633,8.01007,4.42843,5.31865,3.715,71.289,5.54044,32.70695114135742,15.268845558166504,7.9497,6.836816787719727,4.86789,5.840722560882568,22.78546142578125,10.517,50.21262,5.005213260650635,4.433827877044678,4.873360633850098,40.1,6.69,6.831030368804932,3.0256435871124268,24.65,22.590482711791992,3.3713276386260986,3.062511444091797,17.35006,45.88,4.6529645919799805,5.395761489868164,9.132317543029785,5.766650199890137
2019-01-21,-7.686,3.34,11.19,3.5797,5.17632,3.41,14.91385,4.08193,5.673699378967285,2.4999975,2.85221,2.96863,4.68633,8.03007,4.50843,5.36865,3.685,71.389,5.60044,33.13498306274414,15.7025728225708,8.0697,6.828648090362549,4.94789,5.614993572235107,22.525156021118164,10.557,50.01262,5.04706335067749,4.499514102935791,4.881777286529541,39.78,6.81,6.985113143920898,3.0341427326202393,24.2,22.494014739990234,3.388397693634033,3.062511444091797,17.33006,45.83,4.704761028289795,5.360949993133545,9.062271118164062,5.7927045822143555
2019-01-22,-7.436,3.32,11.01,3.3597,5.10632,3.33,14.35385,4.06193,5.577398777008057,2.4769206,2.82221,2.92863,4.58633,8.01007,4.33843,5.34865,3.765,70.789,5.56044,32.65659713745117,15.469643592834473,7.8597,6.746966361999512,4.90789,5.624399185180664,23.028413772583008,10.477,48.36262,5.038693428039551,4.4174065589904785,4.856526851654053,39.7,6.73,6.950872898101807,3.0256435871124268,23.9,22.2747745513916,3.320117712020874,3.0539567470550537,17.05006,45.38,4.6529645919799805,5.326138496398926,8.974712371826172,5.731911659240723
2019-01-23,-9.086,3.26,10.69,3.2397,5.04632,3.33,14.71385,4.02193,5.521224021911621,2.4153822,2.82221,2.93863,4.66633,8.38007,4.27843,5.37865,3.985,71.739,5.58044,32.89159393310547,15.614221572875977,7.8597,6.861320972442627,4.92789,5.972397327423096,22.906938552856445,10.457,49.31262,5.021953582763672,4.4174065589904785,4.873360633850098,40.1,6.83,6.890951156616211,3.0341427326202393,24.25,22.195850372314453,3.3371875286102295,3.071065902709961,17.29006,45.38,4.696127891540527,5.334841728210449,8.99222469329834,5.77533483505249
2019-01-24,-9.336,3.37,10.87,3.4297,5.17632,3.23,14.79385,4.09193,5.5131988525390625,2.4384591,2.84221,2.97863,4.71633,8.37007,4.32843,5.35865,3.925,72.789,5.61044,33.051055908203125,15.574061393737793,7.9797,6.902162075042725,4.94789,6.000613212585449,23.20195198059082,10.497,49.46262,5.013583183288574,4.458459377288818,4.898611068725586,40.18,6.75,6.899511814117432,3.051140785217285,24.3,22.283546447753906,3.320117712020874,3.088174819946289,17.15006,45.23,4.713393688201904,5.369653224945068,9.088539123535156,5.801389217376709
2019-01-25,-9.336,3.37,11.13,3.5097,5.22632,3.17,15.11385,4.10193,5.577398777008057,2.461536,2.93221,3.07863,4.77633,8.41007,4.41843,5.40865,3.965,71.589,5.73044,33.487491607666016,15.63831615447998,8.5197,6.926666736602783,5.07789,6.019423961639404,23.540348052978516,10.597,49.86262,5.038693428039551,4.491302967071533,4.940694808959961,40.74,6.75,6.839589595794678,3.0766375064849854,25.05,22.888647079467773,3.396932601928711,3.1395020484924316,17.93006,45.23,4.765188694000244,5.482789993286133,9.193608283996582,5.914290428161621
2019-01-28,-8.336,3.36,11.11,3.5197,5.33632,3.14,15.21385,4.13193,5.4971489906311035,2.4384591,2.94221,3.07863,4.81633,8.32007,4.36843,5.44865,3.995,72.839,5.79044,33.8148078918457,15.91943645477295,8.5597,6.926666736602783,5.05789,5.944181442260742,23.58373260498047,10.437,50.96262,5.030323505401611,4.556989669799805,4.974362850189209,40.5,6.9,7.079276084899902,3.068138837814331,25.2,22.85356903076172,3.362792730331421,3.1480565071105957,17.83006,45.08,4.747923374176025,5.456681251525879,9.12356185913086,5.879551887512207
2019-01-29,-8.436,3.28,10.71,3.4097,5.34632,3.34,15.43385,4.15193,5.593449115753174,2.4153822,2.94221,3.07863,4.86633,8.31007,4.35843,5.47865,3.965,72.439,5.83044,34.494625091552734,15.99975872039795,8.4997,7.130873203277588,5.05789,6.1134772300720215,24.980710983276367,10.437,51.46262,5.139132022857666,4.606254577636719,4.940694808959961,40.82,6.95,7.164876937866211,3.0936357975006104,25.05,23.572675704956055,3.4140028953552246,3.1566109657287598,17.51006,44.53,4.782454013824463,5.578521251678467,9.263655662536621,5.949028968811035
