Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity	000069 CH Equity	600000 CH Equity	601939 CH Equity
1/15/19	53.800	5.020	12.720	6.810	6.110	6.790	18.700	4.770	7.877	2.438	3.430	3.510	5.720	8.690	5.010	6.440	4.140	81.600	6.600	44.988	21.659	9.45	9.420	5.7	7.065	29.675	12.28	56.8	6.902	6.183	6.636	46	8.69	8.933	4.083	27.95	29.188	4.524	4.095	17.6	54.25	6.067	7.169	11.728	7.401
1/16/19	53.800	5.030	12.700	6.920	6.190	6.820	18.600	4.820	7.904	2.431	3.440	3.560	5.810	8.770	5.010	6.430	4.120	81.400	6.570	45.625	21.588	9.78	9.517	5.71	7.080	30.351	12.2	58.4	6.917	6.256	6.651	46.48	8.66	9.030	4.085	28.05	29.504	4.550	4.085	18.44	54.45	6.082	7.161	11.757	7.440
1/17/19	53.700	5.050	12.660	6.880	6.160	6.880	18.400	4.850	7.836	2.438	3.450	3.550	5.830	8.640	4.990	6.340	4.050	80.650	6.560	44.748	21.355	9.44	9.619	5.68	7.003	30.001	11.8	58.05	6.841	6.204	6.609	45.52	8.74	9.051	4.086	27.15	28.902	4.514	4.086	18.42	54.1	6.077	7.061	11.771	7.466
1/18/19	53.700	5.070	12.920	7.110	6.160	6.860	18.660	4.870	8.018	2.438	3.470	3.580	5.800	8.670	5.050	6.390	4.090	80.850	6.630	45.090	21.995	9.71	9.684	5.76	7.185	30.384	11.88	58.2	6.919	6.248	6.699	46.8	8.96	9.233	4.119	27.8	29.805	4.570	4.142	19.1	54.3	6.236	7.174	12.068	7.683
1/21/19	53.450	5.020	13.120	7.150	6.250	7.040	19.480	4.910	8.158	2.500	3.510	3.590	5.840	8.690	5.130	6.440	4.060	80.950	6.690	45.558	22.560	9.83	9.647	5.84	6.889	29.957	11.92	58	6.958	6.324	6.693	46.48	9.08	9.416	4.120	27.35	29.599	4.581	4.131	19.08	54.25	6.289	7.108	11.943	7.697
1/22/19	53.700	5.000	12.940	6.930	6.180	6.960	18.920	4.890	8.009	2.477	3.480	3.550	5.740	8.670	4.960	6.420	4.140	80.350	6.650	44.840	22.195	9.62	9.519	5.8	6.891	30.585	11.84	56.35	6.938	6.200	6.649	46.4	9	9.358	4.103	27.05	29.271	4.483	4.114	18.8	53.8	6.212	7.053	11.812	7.606
1/23/19	52.050	4.940	12.620	6.810	6.120	6.960	19.280	4.850	7.948	2.415	3.480	3.560	5.820	9.040	4.900	6.450	4.360	81.300	6.670	45.273	22.458	9.62	9.704	5.82	7.336	30.498	11.82	57.3	6.931	6.215	6.689	46.8	9.1	9.300	4.124	27.4	29.239	4.517	4.147	19.04	53.8	6.284	7.082	11.864	7.682
1/24/19	51.800	5.050	12.800	7.000	6.250	6.860	19.360	4.920	7.940	2.438	3.500	3.600	5.870	9.030	4.950	6.430	4.300	82.350	6.700	45.513	22.410	9.74	9.766	5.84	7.374	30.904	11.86	57.45	6.923	6.276	6.726	46.88	9.02	9.315	4.149	27.45	29.367	4.496	4.172	18.9	53.65	6.310	7.131	11.996	7.720
1/25/19	51.800	5.050	13.060	7.080	6.300	6.800	19.680	4.930	8.079	2.462	3.590	3.700	5.930	9.070	5.040	6.480	4.340	81.150	6.820	46.383	22.633	10.28	9.858	5.97	7.440	31.538	11.96	57.85	6.998	6.359	6.824	47.44	9.02	9.288	4.208	28.2	30.341	4.627	4.266	19.68	53.65	6.417	7.324	12.206	7.916
1/28/19	52.800	5.040	13.040	7.090	6.410	6.770	19.780	4.960	7.968	2.438	3.600	3.700	5.970	8.980	4.990	6.520	4.370	82.400	6.880	46.866	23.055	10.32	9.864	5.95	7.352	31.617	11.8	58.95	6.991	6.456	6.875	47.2	9.17	9.620	4.199	28.35	30.314	4.583	4.281	19.58	53.5	6.398	7.293	12.121	7.875
1/29/19	52.700	4.960	12.640	6.980	6.420	6.970	20.000	4.980	8.122	2.415	3.600	3.700	6.020	8.970	4.980	6.550	4.340	82.000	6.920	47.895	23.214	10.26	10.173	5.95	7.575	33.550	11.8	59.45	7.155	6.538	6.841	47.52	9.22	9.754	4.242	28.2	31.324	4.661	4.300	19.26	52.95	6.456	7.470	12.329	7.983
1/30/19	52.650	4.880	12.800	7.010	6.580	6.960	19.860	5.010	8.106	2.400	3.600	3.680	6.000	8.910	4.980	6.520	4.270	82.550	6.940	47.539	22.929	10.76	9.975	5.98	7.604	33.639	11.76	60.25	7.125	6.576	6.845	48.08	9.17	9.648	4.240	28.95	31.782	4.660	4.298	18.9	52.8	6.483	7.487	12.264	8.013
